Index,Dataset,MeanLookup_ns,Memory_MB,BytesPerKey,BuildTime_ms
ART,Clustered,451.02,9.54,20.0,27.99
ART,Lognormal,433.55,9.54,20.0,26.13
ART,Mixed,420.67,9.52,20.0,24.83
ART,Sequential,263.86,9.53,20.0,25.91
ART,Uniform,326.9,9.54,20.0,24.35
ART,Zipfian,62.07,0.16,20.01,0.41
BTree,Clustered,23.17,9.15,19.2,21.5
BTree,Lognormal,24.5,9.15,19.2,20.15
BTree,Mixed,21.42,9.14,19.2,20.3
BTree,Sequential,21.11,9.15,19.2,19.87
BTree,Uniform,24.27,9.16,19.2,20.66
BTree,Zipfian,20.29,0.15,19.2,0.52
HALI,Clustered,682.82,7.98,16.74,33.01
HALI,Lognormal,797.85,7.67,16.09,31.02
HALI,Mixed,650.82,7.62,16.0,29.33
HALI,Sequential,585.35,7.63,16.0,29.19
HALI,Uniform,425.1,7.63,16.0,29.03
HALI,Zipfian,132.55,0.13,16.0,0.5
HashTable,Clustered,165.52,19.92,41.78,22.59
HashTable,Lognormal,140.85,19.92,41.78,23.11
HashTable,Mixed,107.99,19.9,41.8,17.15
HashTable,Sequential,108.88,19.91,41.79,17.48
HashTable,Uniform,99.48,19.92,41.78,17.25
HashTable,Zipfian,34.41,0.32,41.0,0.23
PGM-Index,Clustered,256.41,7.63,16.0,21.31
PGM-Index,Lognormal,284.76,7.63,16.0,25.4
PGM-Index,Mixed,230.02,7.62,16.0,19.87
PGM-Index,Sequential,269.69,7.63,16.0,21.18
PGM-Index,Uniform,191.07,7.63,16.0,18.25
PGM-Index,Zipfian,113.52,0.13,16.0,0.56
RMI,Clustered,245.29,7.63,16.0,69.77
RMI,Lognormal,213.75,7.63,16.0,69.61
RMI,Mixed,180.32,7.62,16.0,70.18
RMI,Sequential,217.85,7.63,16.0,69.53
RMI,Uniform,257.48,7.63,16.0,71.03
RMI,Zipfian,108.14,0.13,16.2,1.06
